CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
10/26/2020,21:30,,,40.618652,-73.9317,"(40.618652, -73.9317)",AVENUE N                        ,,,2,0,0,0,2,0,0,0,Failure to Yield Right-of-Way,Unspecified,Unspecified,Unspecified,Unspecified,4365067,Station Wagon/Sport Utility Vehicle,Sedan,USPS MAIL,Bike,Bike
08/13/2021,17:15,BROOKLYN,11211,40.709755,-73.95707,"(40.709755, -73.95707)",SOUTH 4 STREET,MARCY AVENUE,,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,Unspecified,Unspecified,4448692,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,Bike
08/19/2021,16:55,,,,,,,,Glenwood and 78 street,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,4449740,Sedan,Sedan,Pick-up Truck,Sedan,Bike
11/08/2021,17:48,BROOKLYN,11221,40.685234,-73.92654,"(40.685234, -73.92654)",PATCHEN AVENUE,HANCOCK STREET,,3,0,0,0,1,0,2,0,Failure to Yield Right-of-Way,Unspecified,Unspecified,Unspecified,Unspecified,4475395,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Bike
01/26/2019,5:30,MANHATTAN,10028,40.776024,-73.947044,"(40.776024, -73.947044)",,,1634      YORK AVENUE                   ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,4080980,Const,Bike,Bike,Bike,Bike
12/07/2017,13:20,MANHATTAN,10005,40.709152,-74.01055,"(40.709152, -74.01055)",BROADWAY                        ,LIBERTY STREET,,7,0,3,0,1,0,3,0,Failure to Yield Right-of-Way,Unspecified,Unspecified,Unspecified,Unspecified,3805805,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Bike
10/31/2017,15:08,MANHATTAN,10014,40.729046,-74.01073,"(40.729046, -74.01073)",WEST STREET                     ,WEST HOUSTON STREET,,12,8,7,6,1,2,4,0,Other Vehicular,Unspecified,Unspecified,Unspecified,Unspecified,3782508,Flat Bed,Bus,Bike,Bike,Bike
09/10/2017,9:06,BROOKLYN,11218,40.641953,-73.9885,"(40.641953, -73.9885)",12 AVENUE                       ,39 STREET,,3,1,0,0,3,1,0,0,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,3747815,Bike,Station Wagon/Sport Utility Vehicle,Bike,Bike,Bike
11/06/2016,11:00,MANHATTAN,10036,40.75488,-73.97988,"(40.75488, -73.97988)",,,530       5 AVENUE                      ,1,0,0,0,1,0,0,0,Unsafe Lane Changing,Unspecified,Unspecified,Unspecified,Unspecified,3554576,Station Wagon/Sport Utility Vehicle,Bike,Bike,Bike,Bike
08/16/2016,12:01,MANHATTAN,10013,40.718777,-73.995705,"(40.718777, -73.995705)",GRAND STREET                    ,ELIZABETH STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,3507250,Sedan,Bike,Bike,Bike,Bike
07/20/2016,6:30,MANHATTAN,10014,40.735302,-74.00494,"(40.735302, -74.00494)",PERRY STREET                    ,BLEECKER STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,3486301,Bike,Bike,Bike,Bike,Bike
