CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
07/07/2016,8:07,QUEENS,11373,,,,BROADWAY                        ,BAXTER AVENUE,,0,1,0,0,0,1,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,Unspecified,,,3485897,BICYCLE,PASSENGER VEHICLE,BICYCLE,,
03/10/2016,9:15,MANHATTAN,10016,40.7430998,-73.9740095,"(40.7430998, -73.9740095)",1 AVENUE                        ,EAST 33 STREET                  ,,4,0,2,0,1,0,1,0,Driver Inattention/Distraction,Lost Consciousness,Other Vehicular,Unspecified,,3402788,TAXI,SPORT UTILITY / STATION WAGON,BICYCLE,MOTORCYCLE,
02/05/2016,18:25,BROOKLYN,11238,40.6797033,-73.9616787,"(40.6797033, -73.9616787)",GRAND AVENUE                    ,PACIFIC STREET                  ,,2,0,0,0,2,0,0,0,Unspecified,Unspecified,Unspecified,,,3384729,PASSENGER VEHICLE,BICYCLE,BICYCLE,,
01/22/2016,13:00,MANHATTAN,10019,40.7636578,-73.9734636,"(40.7636578, -73.9734636)",WEST 58 STREET                  ,6 AVENUE                        ,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,,,3378845,VAN,TAXI,BICYCLE,,
12/24/2015,14:50,BROOKLYN,11226,40.6494399,-73.9630763,"(40.6494399, -73.9630763)",CHURCH AVENUE                   ,EAST 18 STREET                  ,,1,0,0,0,1,0,0,0,Alcohol Involvement,Unspecified,Unspecified,,,3365373,SPORT UTILITY / STATION WAGON,AMBULANCE,BICYCLE,,
01/18/2016,9:40,BROOKLYN,11217,40.6840532,-73.981561,"(40.6840532, -73.981561)",DEAN STREET                     ,3 AVENUE                        ,,0,0,0,0,0,0,0,0,Oversized Vehicle,Unspecified,Unspecified,,,3372981,PASSENGER VEHICLE,UNKNOWN,BICYCLE,,
12/24/2015,12:13,MANHATTAN,10021,40.7681193,-73.9588624,"(40.7681193, -73.9588624)",EAST 71 STREET                  ,2 AVENUE                        ,,1,0,1,0,0,0,0,0,Traffic Control Disregarded,Unspecified,Unspecified,,,3360193,PASSENGER VEHICLE,PASSENGER VEHICLE,BICYCLE,,
12/19/2015,21:09,,,,,,CANAL STREET                    ,BOWERY                          ,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Driver Inattention/Distraction,,,3356533,LIVERY VEHICLE,BICYCLE,BICYCLE,,
12/01/2015,21:45,BROOKLYN,11207,40.6797415,-73.8921169,"(40.6797415, -73.8921169)",VAN SICLEN AVENUE               ,ARLINGTON AVENUE                ,,2,0,0,0,2,0,0,0,Unspecified,Unspecified,Unspecified,,,3345427,PASSENGER VEHICLE,BICYCLE,BICYCLE,,
12/12/2015,20:10,MANHATTAN,10013,40.7159187,-73.9993218,"(40.7159187, -73.9993218)",MULBERRY STREET                 ,BAYARD STREET                   ,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,3351806,PASSENGER VEHICLE,PASSENGER VEHICLE,BICYCLE,,
