CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
05/24/2021,6:45,QUEENS,11354,40.769283,-73.82445,"(40.769283, -73.82445)",PARSONS BOULEVARD,32 AVENUE,,0,1,0,0,0,1,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4420981,Pick-up Truck,E-Bike,,,
08/01/2020,17:16,BRONX,10462,40.840508,-73.85515,"(40.840508, -73.85515)",METROPOLITAN AVENUE,LINDEN DRIVE,,0,1,0,0,0,1,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4334713,Sedan,E-Bike,,,
06/04/2021,21:31,,,40.78322,-73.84586,"(40.78322, -73.84586)",COLLEGE POINT BOULEVARD,,,0,1,0,0,0,1,0,0,Passing or Lane Usage Improper,Unspecified,,,,4423679,Sedan,Bike,,,
06/18/2021,23:22,BRONX,10467,40.866047,-73.87207,"(40.866047, -73.87207)",SOUTHERN BOULEVARD,BRONX RIVER PARKWAY,,0,1,0,0,0,1,0,0,Unsafe Speed,Unspecified,,,,4428754,Sedan,Bike,,,
11/28/2020,20:45,MANHATTAN,10016,,,,tunnel exit street              ,east 38 street,,0,1,0,0,0,1,0,0,Driver Inattention/Distraction,Unspecified,,,,4372727,Convertible,Bike,,,
12/25/2020,0:12,BROOKLYN,11232,40.662132,-73.999275,"(40.662132, -73.999275)",24 STREET                       ,3 AVENUE,,0,1,0,0,0,1,0,0,Alcohol Involvement,Unspecified,,,,4381549,Flat Bed,Bike,,,
12/23/2020,19:34,BROOKLYN,11211,40.71453,-73.9444,"(40.71453, -73.9444)",GRAHAM AVENUE                   ,METROPOLITAN AVENUE,,0,1,0,0,0,1,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,4379372,Bus,Bike,,,
01/06/2021,14:46,,,40.64433,-73.919914,"(40.64433, -73.919914)",RALPH AVENUE                    ,,,0,1,0,0,0,1,0,0,Driver Inattention/Distraction,,,,,4390593,E-Bike,,,,
12/11/2020,7:26,MANHATTAN,10035,40.797306,-73.93446,"(40.797306, -73.93446)",1 AVENUE                        ,EAST 118 STREET,,0,1,0,0,0,1,0,0,Passing or Lane Usage Improper,Unspecified,Unspecified,,,4375361,Box Truck,Bike,Sedan,,
01/07/2021,0:48,,,40.814934,-73.91496,"(40.814934, -73.91496)",EAST 149 STREET                 ,,,0,1,0,0,0,1,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,4382059,Taxi,Bike,,,
11/07/2020,0:59,BROOKLYN,11208,40.68419,-73.8703,"(40.68419, -73.8703)",AUTUMN AVENUE                   ,FULTON STREET,,0,1,0,0,0,1,0,0,Driver Inattention/Distraction,Unspecified,,,,4365099,Station Wagon/Sport Utility Vehicle,Bike,,,
11/13/2020,22:00,BROOKLYN,11233,40.678867,-73.90823,"(40.678867, -73.90823)",,,77        STONE AVENUE                  ,0,1,0,0,0,1,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,,4367428,E-Scooter,,,,
11/01/2020,16:27,MANHATTAN,10029,40.784943,-73.946594,"(40.784943, -73.946594)",EAST 97 STREET                  ,2 AVENUE,,0,1,0,0,0,1,0,0,Driver Inattention/Distraction,Unspecified,,,,4363262,Station Wagon/Sport Utility Vehicle,Bike,,,
11/07/2020,0:19,,,40.8252,-73.867714,"(40.8252, -73.867714)",BRUCKNER BOULEVARD              ,ROSEDALE AVENUE,,0,1,0,0,0,1,0,0,Alcohol Involvement,Unspecified,,,,4365521,Sedan,E-Scooter,,,
