CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
10/06/2020,16:43,QUEENS,11423,40.72921,-73.781166,"(40.72921, -73.781166)",188 STREET                      ,UNION TURNPIKE,,1,0,1,0,0,0,0,0,Reaction to Uninvolved Vehicle,,,,,4355439,BICYCLE,,,,
07/07/2016,8:07,QUEENS,11373,,,,BROADWAY                        ,BAXTER AVENUE,,0,1,0,0,0,1,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,Unspecified,,,3485897,BICYCLE,PASSENGER VEHICLE,BICYCLE,,
06/17/2016,16:06,BROOKLYN,11203,,,,UTICA AVENUE                    ,RUTLAND ROAD,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,,3470666,BICYCLE,BICYCLE,,,
06/18/2016,3:40,QUEENS,11105,40.7688877,-73.9069078,"(40.7688877, -73.9069078)",SOUND STREET                    ,ASTORIA BLVD NORTH              ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3463912,BICYCLE,PASSENGER VEHICLE,,,
03/12/2016,4:20,QUEENS,11372,40.7532439,-73.8896843,"(40.7532439, -73.8896843)",34 AVENUE                       ,77 STREET                       ,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3405023,BICYCLE,PASSENGER VEHICLE,,,
03/09/2016,16:45,BROOKLYN,11217,40.6737034,-73.971441,"(40.6737034, -73.971441)",PLAZA STREET WEST               ,BERKELEY PLACE                  ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3403071,BICYCLE,PASSENGER VEHICLE,,,
02/22/2016,18:58,QUEENS,11104,40.7425108,-73.917872,"(40.7425108, -73.917872)",47 STREET                       ,GREENPOINT AVENUE               ,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3393760,BICYCLE,UNKNOWN,,,
03/09/2016,23:00,QUEENS,11106,40.7581766,-73.924054,"(40.7581766, -73.924054)",35 STREET                       ,34 AVENUE                       ,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,Unspecified,,,3404976,BICYCLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
03/03/2016,17:22,MANHATTAN,10018,40.755251,-73.9986609,"(40.755251, -73.9986609)",10 AVENUE                       ,WEST 35 STREET                  ,,1,0,0,0,1,0,0,0,Physical Disability,Turning Improperly,,,,3399193,BICYCLE,UNKNOWN,,,
02/17/2016,11:25,MANHATTAN,10028,40.7795404,-73.9597725,"(40.7795404, -73.9597725)",EAST 84 STREET                  ,MADISON AVENUE                  ,,0,0,0,0,0,0,0,0,Lost Consciousness,Unspecified,,,,3389976,BICYCLE,LIVERY VEHICLE,,,
